variant,seed,rid,top1,rr
tfidf,51,21,0.0,0.5
tfidf,51,25,0.0,0.0
tfidf,51,31,1.0,1.0
tfidf,51,38,0.0,0.0
tfidf,51,43,0.0,0.0
tfidf,51,51,1.0,1.0
tfidf,51,57,1.0,1.0
tfidf,51,58,1.0,1.0
tfidf,51,61,0.0,0.3333333333333333
tfidf,51,65,0.0,0.0
tfidf,51,68,0.0,0.0
tfidf,51,69,0.0,0.2
tfidf,51,75,1.0,1.0
tfidf,51,78,1.0,1.0
tfidf,51,85,1.0,1.0
tfidf,51,89,0.0,0.0
tfidf,51,98,0.0,0.3333333333333333
tfidf,51,102,0.0,0.25
tfidf,52,2,0.0,0.0
tfidf,52,3,1.0,1.0
tfidf,52,9,1.0,1.0
tfidf,52,14,1.0,1.0
tfidf,52,18,1.0,1.0
tfidf,52,28,1.0,1.0
tfidf,52,30,1.0,1.0
tfidf,52,42,0.0,0.5
tfidf,52,49,1.0,1.0
tfidf,52,55,1.0,1.0
tfidf,52,60,0.0,0.0
tfidf,52,62,1.0,1.0
tfidf,52,65,0.0,0.0
tfidf,52,73,0.0,0.0
tfidf,52,74,1.0,1.0
tfidf,52,79,0.0,0.0
tfidf,52,81,0.0,0.0
tfidf,52,88,0.0,0.3333333333333333
tfidf,52,91,0.0,0.3333333333333333
tfidf,52,97,1.0,1.0
tfidf,52,104,0.0,0.3333333333333333
tfidf,53,7,1.0,1.0
tfidf,53,8,1.0,1.0
tfidf,53,9,1.0,1.0
tfidf,53,13,0.0,0.5
tfidf,53,25,0.0,0.0
tfidf,53,32,1.0,1.0
tfidf,53,33,0.0,0.0
tfidf,53,35,0.0,0.0
tfidf,53,43,0.0,0.0
tfidf,53,45,0.0,0.0
tfidf,53,51,1.0,1.0
tfidf,53,53,0.0,0.0
tfidf,53,63,0.0,0.5
tfidf,53,66,0.0,0.5
tfidf,53,72,1.0,1.0
tfidf,53,76,1.0,1.0
tfidf,53,82,0.0,0.0
tfidf,53,89,0.0,0.0
tfidf,53,91,0.0,0.3333333333333333
tfidf,53,96,0.0,0.0
tfidf,53,102,0.0,0.25
tfidf,54,13,0.0,0.5
tfidf,54,16,0.0,0.5
